DATE,TMIN,TAVG,TMAX
1900,40.88333333333333,51.050000000000004,60.81428571428571
1901,39.24285714285714,49.04,58.583333333333336
1902,39.6,49.42,59.54
1903,38.92857142857143,48.785714285714285,58.65714285714286
1904,35.6,46.025,56.228571428571435
1905,38.480000000000004,48.739999999999995,59.02
1906,39.857142857142854,49.68333333333334,59.81666666666666
1907,37.38,47.760000000000005,57.771428571428565
1908,39.475,49.775,60.075
1909,38.9375,48.8875,58.85
1910,39.2,49.3,59.4125
1911,39.3625,49.4625,59.5625
1912,38.45,48.525,58.6
1913,41.385714285714286,51.46666666666667,61.42857142857143
1914,38.300000000000004,48.357142857142854,58.4
1915,39.95,49.75,59.5625
1916,38.57142857142857,48.12857142857143,57.6625
1917,36.355555555555554,46.26666666666667,56.2
1918,38.775,48.525,58.63333333333333
1919,39.611111111111114,49.575,59.77777777777778
1920,39.43333333333333,49.15,58.900000000000006
1921,41.44285714285714,51.271428571428565,61.114285714285714
1922,39.0,48.74444444444444,58.92222222222222
1923,36.833333333333336,47.9,58.5
1924,37.21,47.839999999999996,58.48
1925,38.71111111111111,49.28888888888889,59.87777777777777
1926,37.18888888888889,47.43333333333333,57.666666666666664
1927,39.46666666666667,49.488888888888894,59.52
1928,38.97777777777778,49.144444444444446,59.266666666666666
1929,38.575,49.25,59.9
1930,39.79,50.56,61.339999999999996
1931,41.077777777777776,51.56666666666667,62.044444444444444
1932,40.054545454545455,50.445454545454545,60.85454545454545
1933,40.48888888888889,50.32222222222222,60.14444444444444
1934,37.65,48.42,59.14
1935,37.86,48.46,59.05
1936,38.08,48.9,59.75
1937,39.583333333333336,50.08181818181818,60.5
1938,38.87,50.099999999999994,61.37777777777777
1939,37.791666666666664,48.79,59.73
1940,36.03636363636363,46.42,56.845454545454544
1941,38.32857142857143,49.800000000000004,61.06666666666666
1942,38.43076923076923,48.760000000000005,59.17999999999999
1943,36.75,47.78,58.92999999999999
1944,37.84166666666667,48.71111111111111,60.099999999999994
1945,38.32,49.26428571428572,60.00714285714286
1946,38.38823529411765,49.85333333333333,61.28
1947,38.480000000000004,49.478571428571435,60.18571428571429
1948,36.5,48.059999999999995,59.02
1949,40.64545454545455,51.73636363636364,62.85
1950,38.54,48.733333333333334,58.93333333333333
1951,39.87777777777777,49.96111111111111,60.142105263157895
1952,40.42352941176471,50.241176470588236,60.023529411764706
1953,40.88636363636363,51.45,61.9
1954,39.166666666666664,49.519999999999996,59.65294117647059
1955,39.43846153846154,49.63076923076923,59.815384615384616
1956,38.07692307692308,48.23076923076923,58.37692307692308
1957,39.43333333333333,50.06666666666666,60.62
1958,37.58571428571428,47.27619047619047,57.0
1959,39.278260869565216,49.647619047619045,60.10476190476191
1960,37.55714285714286,48.40952380952381,59.32727272727273
1961,38.44761904761905,48.7952380952381,59.142857142857146
1962,36.43,47.152631578947364,57.852631578947374
1963,36.663636363636364,47.79545454545455,58.96521739130435
1964,37.269999999999996,48.5,59.720000000000006
1965,37.53684210526316,48.28888888888889,58.96111111111111
1966,37.46666666666666,48.394999999999996,59.290476190476184
1967,37.51428571428571,47.769999999999996,57.825
1968,37.635000000000005,48.23684210526316,58.885000000000005
1969,38.410000000000004,48.410000000000004,58.50952380952381
1970,38.26190476190476,48.42,58.48
1971,38.93157894736842,49.08947368421053,59.23684210526316
1972,38.0,48.04,58.075
1973,40.25625,50.70625,61.129411764705885
1974,38.13333333333333,48.685,59.275
1975,39.44736842105263,49.51111111111111,59.56315789473685
1976,37.205263157894734,48.09473684210526,58.98421052631579
1977,38.15294117647059,48.586666666666666,59.175
1978,36.76470588235294,47.53333333333333,58.28666666666666
1979,40.3235294117647,49.88235294117647,59.45294117647059
1980,38.35625,48.95,59.51176470588236
1981,38.75,49.18125,59.6125
1982,37.975,48.626666666666665,59.46666666666667
1983,39.92666666666666,50.223076923076924,60.38
1984,39.225,49.17142857142857,59.68125
1985,38.7625,48.93076923076923,59.51428571428572
1986,38.86666666666667,48.776923076923076,59.214285714285715
1987,38.6875,49.44666666666667,60.05625
1988,38.0375,49.0,59.57857142857143
1989,38.086666666666666,48.38666666666666,58.71333333333334
1990,41.766666666666666,52.010000000000005,61.839999999999996
1991,40.792857142857144,51.278571428571425,61.89333333333333
1992,37.9875,47.8375,57.970000000000006
1993,37.949999999999996,48.86923076923077,59.535714285714285
1994,37.82,48.628571428571426,59.46666666666667
1995,38.080000000000005,48.81428571428571,59.64
1996,38.6,48.378571428571426,58.21333333333334
1997,39.163636363636364,49.13636363636363,59.15833333333333
1998,41.955555555555556,52.28888888888889,62.300000000000004
1999,40.519999999999996,51.1,61.77272727272727
2000,39.73076923076923,49.56666666666666,59.425000000000004
2001,40.70909090909091,51.25454545454545,61.8
2002,41.791666666666664,51.80833333333334,61.646153846153844
2003,39.715384615384615,48.97692307692308,58.23076923076923
2004,39.92307692307692,49.699999999999996,59.184615384615384
2005,39.74545454545454,49.57272727272727,59.372727272727275
2006,41.725,51.127272727272725,60.40909090909091
2007,39.84117647058823,49.741176470588236,59.66470588235294
2008,40.4,50.03125,59.64375
2009,39.13846153846154,48.43846153846154,57.75384615384615
2010,41.478571428571435,51.142857142857146,60.82142857142857
2011,40.78333333333333,50.666666666666664,60.53333333333333
2012,42.43529411764706,52.2235294117647,62.02352941176471
2013,39.68,49.68,59.705
2014,38.56111111111111,48.56111111111111,58.58888888888888
2015,39.21,49.83,60.475
2016,41.27894736842105,51.78947368421053,62.31052631578948
2017,41.357894736842105,50.93684210526315,60.51578947368421
2018,41.129411764705885,50.3235294117647,59.51176470588236
2019,39.71176470588235,49.45294117647059,59.17058823529412
2020,42.107142857142854,51.66428571428571,61.221428571428575
2021,42.278571428571425,51.50714285714286,60.721428571428575
2022,40.65625,50.9625,61.30588235294118
2023,42.68666666666666,52.17333333333333,61.66
2024,42.1625,51.95625,61.7625
